route_id, agency_id, route_short_name, route_long_name, route_desc, route_type, route_url, route_color, route_text_color
0010, 1, 010, Nova Palestina / Fradinhos via Av. Vitória, , 3, , , 
0015, 1, 015, Ilha de Santa Maria / Romão, , 3, , , 
0022, 1, 022, Conquista / Mata da Praia via Santa Martha, , 3, , , 
0031, 1, 031, São Benedito / Ilha do Príncipe via Reta da Penha, , 3, , , 
031A, 1, 031A, São Benedito / Morro do Pinto via Mário Cypreste, , 3, , , 
0044, 1, 044, Curva da Jurema / Resistência via Andorinhas, , 3, , , 
0051, 1, 051, Santo Antônio / Consolação / Itararé, , 3, , , 
0052, 1, 052, Santo Antônio / Itararé / Consolação, , 3, , , 
0071, 1, 071, São Pedro / Maruípe / Centro (Circular), , 3, , , 
0072, 1, 072, São Pedro / Centro / Maruípe (Circular), , 3, , , 
073N, 1, 073N, Tabuazeiro / Shop. Vitória via Reta da Penha - Norte, , 3, , , 
073S, 1, 073S, Tabuazeiro / Shop. Vitória via Jucutuquara - Sul, , 3, , , 
0074, 1, 074, São Cristovão / Bairro da Penha (Circular), , 3, , , 
100A, 1, 100A, Curva da Jurema via Reta da Penha (Circular), , 3, , , 
100B, 1, 100B, Curva da Jurema via Beira Mar (Circular), , 3, , , 
0100, 1, 101, Praia do Canto / Rodoviária via Ilha do Principe, , 3, , , 
0102, 1, 102, Santa Tereza / Jesus de Nazaré via Ilha Santa Maria, , 3, , , 
0103, 1, 103, Mario Cypreste / Jardim Camburi via Caratoíra, , 3, , , 
0104, 1, 104, Santos Dumont / Bela Vista via Morro do Quadro, , 3, , , 
0110, 1, 110, Estrelinha / Jardim Camburi via Reta da Penha, , 3, , , 
0111, 1, 111, Bairro do Moscoso / Atlântica Ville via Av. Vitória, , 3, , , 
0112, 1, 112, Maria Ortiz / Rodoviária via Av. Vitória, , 3, , , 
0121, 1, 121, Mário Cypreste / Jardim Camburi via Reta da Penha, , 3, , , 
0122, 1, 122, Aeroporto / Rodoviária via Av. Vitória, , 3, , , 
0123, 1, 123, Bairro República / Bela Vista via Reta da Penha, , 3, , , 
0124, 1, 124, Jardim da Penha / Estrelinha via Reta da Penha, , 3, , , 
0125, 1, 125, Alto Tabuazeiro / Fonte Grande via Reta da Penha, , 3, , , 
0130, 1, 130, Resistência /  Jardim da Penha via Marechal Campos, , 3, , , 
0151, 1, 151, Santa Marta /  Rodoviária via Av. Vitória, , 3, , , 
0160, 1, 160, Jardim Camburi / Rodoviária via Av. Maruípe, , 3, , , 
0161, 1, 161, Mário Cypreste / Jardim Camburi via Maruípe, , 3, , , 
0163, 1, 163, Aeroporto / Parque Moscoso via Maria Ortiz, , 3, , , 
0164, 1, 164, Mário Cypreste / Jardim Camburi via Marechal Campos, , 3, , , 
0171, 1, 171, Mario Cypreste / Joana D'Arc, , 3, , , 
0172, 1, 172, Mario Cypreste / Itararé, , 3, , , 
0173, 1, 173, Tabuazeiro / Rodoviária, , 3, , , 
0175, 1, 175, Resistência / Rodoviária, , 3, , , 
0181, 1, 181, Grande Vitória / Tabuazeiro via Bairro Universitário, , 3, , , 
0182, 1, 182, Mário Cypreste / Bairro da Penha via Alagoano, , 3, , , 
0184, 1, 184, Jardim da Penha / Rodoviária via Av. Maruípe, , 3, , , 
0200, 1, 200, Santo André / Curva da Jurema via Beira Mar (Reforço), , 3, , , 
0201, 1, 201, Bela Vista / Curva da Jurema via Beira Mar, , 3, , , 
0202, 1, 202, Caratoíra / Shoping Vitória via Beira Mar, , 3, , , 
0203, 1, 203, Santa Clara / Ilha do Boi via Parque Moscoso, , 3, , , 
0204, 1, 204, Mario Cypreste / Jaburu via Shop. Vitória (Circular), , 3, , , 
0210, 1, 210, Goiabeiras / Rodoviária via Beira Mar (Noturno), , 3, , , 
0211, 1, 211, Santo André / Jardim Camburi via Beira Mar, , 3, , , 
0212, 1, 212, Aeroporto / Santo Antônio via Beira Mar, , 3, , , 
0213, 1, 213, Grande Vitória / Mata da Praia via Praia do Suá, , 3, , , 
0214, 1, 214, Bento Ferreira / Goiabeiras via Shopping Vitória, , 3, , , 
0241, 1, 241, Mário Cypreste / Jardim Camburi via Leitão da Silva, , 3, , , 
0290, 1, 290, Estrelinha / Jardim Camburi via Beira Mar, , 3, , , 
0300, 1, 300, Santo André / Curva da Jurema via Reta da Penha, , 3, , , 
0302, 1, 302, Santo Antônio / Jardim da Penha via Rod. Serafim Derenzi, , 3, , , 
0310, 1, 310, Santo André / Jardim Camburi via Jardim da Penha, , 3, , , 
0331, 1, 331, Ilha das Caieiras/praia do Suá via Shopping Vitoria, , 3, , , 
0333, 1, 333, Ilha das Caieiras / Praia do Suá via Jucutuquara, , 3, , , 
333E, 1, 333E, Praia do Suá via Jucutuquara (Expresso), , 3, , , 
0370, 1, 370, Resistência / Bento Ferreira via Beira Mar, , 3, , , 